12
BRADLEY,TOTHEROW,CADINHA & CO LLC,3448,HI,900 FORT ST. MALL STE. 1450,N
SHERYL,FISHELL,BANKOH INVESTMENT SERVICES INC.,3730,HI,130 MERCHANT STREET,N
ROBERT,LYSTER,BANKOH INVESTMENT SERVICES INC.,4277,HI,130 MERCHANT STREET,N
KARL,WILL,PARCHE CAPITAL MANAGEMENT LLC,4653,HI,745 FORT STREET,N
ROSS,MCCLAFFERTY,MCCLAFFERTY ADVISORY SERVICES LLC,14683,HI,nan,N
GREGORY,RATTÉ,GE RATTÉ ASSET MANAGEMENT LLC,15000,HI,1003 BISHOP ST,N
ELLEN,MIMORI,AM FINANCIAL SERVICES INC.,15943,HI,nan,N
SARAH,BREDHOFF,THE RICE PARTNERSHIP LLC,577,HI,1099 ALAKEA STREET,N
CHRISTINA,COTTEN,ANDREWS ADVISORY ASSOCIATES LLC,3837,HI,1188 BISHOP STREET,N
YOKO,FARIAS,BANKOH INVESTMENT SERVICES INC.,13735,HI,130 MERCHANT STREET,N
PASTORA,FONACIER,BANKOH INVESTMENT SERVICES INC.,15203,HI,130 MERCHANT STREET,N
SAMUEL,BELLO,BELLOADVISERS LLC,1255,HI,212 AIKAHI LOOP,N
DAVID,JACOBS,PATHFINDER FINANCIAL SERVICES LLC,2281,HI,nan,N
CORY,NAKAMURA,MOSAIC PACIFIC INVESTMENT ADVISORS,3224,HI,nan,N
RONALD,MILLER,RESOURCE MANAGEMENT LLC,3500,HI,nan,N
MONICA,JENNINGS,JENNINGS FINANCIAL PLANNING INC.,12334,HI,615 PIIKOI STREET,N
CRISTOPHER,BORDEN,KOBO WEALTH CONSERVANCY,14443,HI,119 MERCHANT STREET SUITE 610,N
KIMBERLY,WEITZEL,BANKOH INVESTMENT SERVICES INC.,15997,HI,130 MERCHANT STREET,N
KIMBERLI,LO,BANKOH INVESTMENT SERVICES INC.,109,HI,130 MERCHANT STREET,N
LINDSEY,NIP,YIM INVESTMENT MANAGEMENT LLC,1544,HI,1950 YOUNG STREET SUITE 288,N
MCSHANE,DATOR,BANKOH INVESTMENT SERVICES INC.,8576,HI,130 MERCHANT STREET,N
CHARLOTTE,TERUYA,LEE FINANCIAL GROUP HAWAII INC.,16819,HI,3113 OLU STREET,N
HARLAN,CADINHA,CADINHA & CO LLC,6430,HI,900 FORT ST. MALL STE. 1450,N
BRYAN,ENOS,ANDREWS ADVISORY ASSOCIATES LLC,9428,HI,1188 BISHOP STREET,N
CHARLES,LANPHIER,LANPHIER CAPITAL MANAGEMENT INC.,10687,HI,nan,N
LESLIE,ANDREWS,ANDREWS ADVISORY ASSOCIATES LLC,11897,HI,1188 BISHOP STREET,N
DAVID,BELLO,BELLOADVISERS LLC,12407,HI,212 AIKAHI LOOP,N
JOHN,KERR,BLUE SKIES FINANCIAL PLANNING LLC,1172,HI,nan,N
TAMMY,KAETSU,BANKOH INVESTMENT SERVICES INC.,1656,HI,130 MERCHANT STREET,N
LYNNE,KINNEY,CKW FINANCIAL GROUP LLC,6267,HI,1003 BISHOP STREET,N
GREGORY,GUNTHER,THE RETIREMENT OPTIMIZATION GROUP LLC,7182,HI,1888 KALAKAUA AVE,N
HANS,MEDINA,SHIRAISHI FINANCIAL GROUP ADVISORS,10456,HI,1585 KAPIOLANI BLVD.,N
BARRY,MAGAOAY,LEE FINANCIAL GROUP HAWAII INC.,12790,HI,3113 OLU STREET,N
RYLAN,YOSHINO,BANKOH INVESTMENT SERVICES INC.,34,HI,130 MERCHANT STREET,N
KELLY,FONG,BANKOH INVESTMENT SERVICES INC.,3946,HI,130 MERCHANT STREET,N
DEBRA,WINGET,BANKOH INVESTMENT SERVICES INC.,7274,HI,130 MERCHANT STREET,N
ANTHONY,NOTO,NOTO FINANCIAL PLANNING,8317,HI,nan,N
BRYCE,MIYAMOTO,BANKOH INVESTMENT SERVICES INC.,8597,HI,130 MERCHANT STREET,N
NAALEIALOHA,KEAUNUI,BANKOH INVESTMENT SERVICES INC.,10484,HI,130 MERCHANT STREET,N
STACEY,WILLIAMS,BANKOH INVESTMENT SERVICES INC.,10735,HI,130 MERCHANT STREET,N
MICHELLE,TUCKER,3D WEALTH ADVISORS INC.,11868,HI,201 MERCHANT STREET SUITE 909,N
ANDREW,GLATZEL,SEACAP ADVISORS LLC,14297,HI,3615 HARDING AVE,N
NEIL,ROSE,CADINHA & CO LLC,3868,HI,900 FORT ST. MALL STE. 1450,N
ANDREA,DEUTSCH,MOSAIC PACIFIC INVESTMENT ADVISORS,4423,HI,nan,N
GREGORY,VAN WYK,KOBO WEALTH CONSERVANCY,4540,HI,119 MERCHANT STREET SUITE 610,N
ROBYN,MACY,CADINHA & CO LLC,10253,HI,900 FORT ST. MALL STE. 1450,N
LAUREN,SMITH,INVESTMENT DYNAMICS CONSULTING GROUP LLC,10503,HI,75-5591 PALANI ROAD SUITE 3008,N
KALEIALOHA,CADINHA-PUA'A,CADINHA & CO LLC,13584,HI,900 FORT ST. MALL STE. 1450,N
OREST,SAIKEVYCH,THE RICE PARTNERSHIP LLC,15014,HI,1099 ALAKEA STREET,N
WILLIAM,WONG,INVESTMENT DYNAMICS CONSULTING GROUP LLC,15761,HI,75-5591 PALANI ROAD SUITE 3008,N
JENNIFER,SANDROWSKI,BANKOH INVESTMENT SERVICES INC.,3505,HI,130 MERCHANT STREET,N
EDWIN,CHAU,LEE FINANCIAL GROUP HAWAII INC.,13203,HI,3113 OLU STREET,N
April,McGinnis,LANPHIER CAPITAL MANAGEMENT INC.,9692,HI,nan,N
Keri,Ogden,THE RICE PARTNERSHIP LLC,12250,HI,1099 ALAKEA STREET,N
Jason,Kiyosaki,BANKOH INVESTMENT SERVICES INC.,13240,HI,130 MERCHANT STREET,N
Jules,Theil,BOX HOLDINGS LLC,13553,HI,7 WATERFRONT PLAZA 500 ALA MOANA BLVD.,N
Travis,Tsukayama,ANDREWS ADVISORY ASSOCIATES LLC,15842,HI,1188 BISHOP STREET,N
MARIO,YIM,YIM INVESTMENT MANAGEMENT LLC,13442,HI,1950 YOUNG STREET SUITE 288,N
KENNETH,MILLER,BISHOP STREET CAPITAL MANAGEMENT,13902,HI,FIRST HAWAIIAN CENTER,N
